apple| la manzana| [el manana; la mazana; el mandolino; la makabre; el marlboro; la mama]| I like eating a red apple.| Me gusta comer una manzana roja.
car| el coche| [la cochera; el carro; la carreta; el automovil; la cochecito; el automóvil]| I drove my car to work.| Conduje mi coche al trabajo.
dog| el perro| [la perra; el padrino; la persona; el payaso; la pronto; el pavo]| The dog is barking loudly.| El perro está ladrando fuerte.
music| la música| [la canción; el concierto; el ritmo; la melodía; el tema; la sinfonía]| I listen to music every day.| Escucho música todos los días.
piano| el piano| [el órgano; el teclado; la guitarra; el xilófono; la flauta; el clarinete]| I can play the piano.| Puedo tocar el piano.
flute| la flauta| [el oboe; el clarinete; el trombón; el saxofón; el trompeta; el clarinete]| She plays the flute beautifully.| Ella toca la flauta maravillosamente.
violin| el violín| [la guitarra; la viola; el cello; la flauta; el bajo; el trombón]| I want to learn to play the violin.| Quiero aprender a tocar el violín.
script| el guion| [el guión; el libreto; el plan; el borrador; la historia; la trama]| The script was well-written.| El guion estaba bien escrito.
scene| la escena| [el acto; el plano; la secuencia; el momento; la parte; la imagen]| The scene was intense.| La escena fue intensa.
drink| la bebida| [el refresco; el trago; la copa; la cerveza; el jugo; el vino]| I need a drink.| Necesito una bebida.
dessert| el postre| [el pastel; la tarta; el dulce; la golosina; la crema; el helado]| My favorite dessert is chocolate cake.| Mi postre favorito es el pastel de chocolate.
vegetable| la verdura| [la fruta; el plato; el legumbre; el brote; la ensalada; el hortaliza]| I eat vegetables every day.| Como verduras todos los días.
meat| la carne| [el pollo; el pescado; el cerdo; la ternera; la vaca; el bistec]| I prefer red meat.| Prefiero la carne roja.
chicken| el pollo| [la gallina; el ave; el pavo; el gallo; la pechuga; el muslo]| We are having chicken for dinner.| Vamos a cenar pollo.
fish| el pescado| [el marisco; el pez; el salmón; la trucha; la merluza; el atún]| I like to eat fish.| Me gusta comer pescado.
hair| el cabello| [el pelo; el rizos; la melena; la cabellera; la peluca; el flequillo]| She has long hair.| Ella tiene el cabello largo.
