1| 1| apple| la manzana| [el manana; la mazana; el mandolino; la makabre; el marlboro; la mama]| I like eating a red apple.| Me gusta comer una manzana roja.
1| 1| dog| el perro| [la perra; el padrino; la persona; el payaso; la pronto; el pavo]| The dog is barking loudly.| El perro está ladrando fuerte.
1| 1| house| la casa| [el cosa; la claro; el carne; la cucaracha; el collar; la caballo]| They live in a big house.| Ellos viven en una casa grande.
1| 1| book| el libro| [la lirio; el lento; la lanza; el lapiz; la luz; el luna]| She is reading a book.| Ella está leyendo un libro.
1| 1| car| el coche| [la campo; el cosa; la cara; el comida; la cabeza; el casa]| The car is parked outside.| El coche está estacionado afuera.
1| 1| tree| el árbol| [la alambre; el alma; la amor; el arroz; la arma; el arco]| A bird is sitting on the tree.| Un pájaro está sentado en el árbol.
1| 1| cat| el gato| [la guerra; el garra; la gorra; el gusano; la guapo; el grande]| The cat is drinking milk.| El gato está bebiendo leche.
1| 1| water| el agua| [la aguila; el amigo; la alemania; el anteojo; la ansia; el ayuda]| I need a glass of water.| Necesito un vaso de agua.
1| 1| phone| el teléfono| [la tierra; el tiempo; la texto; el talento; la talla; el tela]| My phone is ringing.| Mi teléfono está sonando.
1| 1| table| la mesa| [el monto; la madre; el maleta; la manta; el marzo; la madre]| Put the book on the table.| Pon el libro sobre la mesa.
1| 2| airplane| el avión| [la año; el amigo; la ajo; el arte; la abogado; el acera]| The airplane is flying high.| El avión está volando alto.
1| 2| mountain| la montaña| [el manzana; la mañana; el murciélago; la mapa; el maleta; la mesa]| They are climbing the mountain.| Ellos están escalando la montaña.
1| 2| river| el río| [la rojo; el rana; la rueda; el roca; la rayo; el rey]| The river flows through the valley.| El río fluye por el valle.
1| 2| sun| el sol| [la silla; el sopa; la sonrisa; el secar; la suelo; el silbido]| The sun is shining brightly.| El sol brilla intensamente.
1| 2| computer| la computadora| [el camino; la casa; el corazón; la cantidad; el cartel; la cuaderno]| I work on a computer every day.| Trabajo en una computadora todos los días.
1| 2| school| la escuela| [el estrella; la escalera; el esmeralda; la escritura; el espada; la estrella]| The children are at school.| Los niños están en la escuela.
1| 2| doctor| el doctor| [la donde; el dolor; la dama; el dinero; la dibujo; el diente]| The doctor is treating a patient.| El doctor está tratando a un paciente.
1| 2| car| el coche| [la cerca; el cielo; la casa; el ciudad; la calle; el comedia]| He bought a new car.| Él compró un coche nuevo.
1| 2| book| el libro| [la luna; el leche; la lugar; el letra; la lucha; el luz]| This is an interesting book.| Este es un libro interesante.
1| 2| phone| el teléfono| [la taza; el tarde; la túnel; el tapón; la tarjeta; el transporte]| She answered the phone quickly.| Ella respondió el teléfono rápidamente.
